Country,Political System,Key Form,Majority Religion,WWII Alignment,Post-War Alignment
Moldova,Democracy,Parliamentary Republic,Christianity (Orthodox),Allied (USSR),Soviet Bloc (USSR)
Venezuela,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Guinea,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Iran,Autocracy,Theocratic Republic,Islam (Shia),Allied,Neutral/Non-Aligned
Ghana,Democracy,Presidential Republic,Christianity,Occupied (British Colony),Neutral/Non-Aligned
Turkey,Semi-Democracy,Presidential Republic,Islam,Neutral,Western Bloc (NATO)
Burkina Faso,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Cambodia,Semi-Democracy,Parliamentary Republic,Buddhism,Occupied (Japan),Soviet Bloc (USSR-aligned)
Benin,Democracy,Presidential Republic,Christianity/Indigenous,Allied (French Colony),Western Bloc (France-aligned)
Comoros,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Uganda,Semi-Democracy,Presidential Republic,Christianity,British Protectorate,Western Bloc (U.K.-aligned)
Nigeria,Semi-Democracy,Federal Republic,Islam/Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Kenya,Democracy,Presidential Republic,Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Tunisia,Democracy,Semi-Presidential Republic,Islam,Occupied (French Protectorate),Neutral/Non-Aligned
Pakistan,Semi-Democracy,Federal Republic,Islam,British Colony,Western Bloc (U.S.-aligned)
Palestinian Territories*,Semi-Democracy,Mixed Autonomous Authority,Islam,British Mandate,Neutral/Non-Aligned
Mali,Democracy,Semi-Presidential Republic,Islam,Allied (French Colony),Neutral/Non-Aligned
Namibia,Democracy,Semi-Presidential Republic,Christianity,Allied (South African Protectorate),Neutral/Non-Aligned
"Eswatini, Kingdom of*",Semi-Autocracy,Absolute Monarchy,Christianity/Indigenous,British Protectorate,Neutral/Non-Aligned
Myanmar,Semi-Autocracy,Military Junta,Buddhism,Japanese Occupation,Non-Aligned Movement
Sri Lanka,Democracy,Presidential Republic,Buddhism,British Colony,Neutral/Non-Aligned
Madagascar,Democracy,Semi-Presidential Republic,Christianity/Indigenous,Occupied (French Colony),Neutral/Non-Aligned
Egypt,Semi-Democracy,Semi-Presidential Republic,Islam,British Protectorate,Neutral/Non-Aligned
Chad,Semi-Autocracy,Presidential Republic,Islam,Allied (French Colony),Neutral/Non-Aligned
Ethiopia,Democracy,Federal Parliamentary Republic,Christianity,Occupied by Italy,Neutral/Non-Aligned
Yemen,Autocracy,Republic,Islam,British Protectorate/North Yemen Neutral,Neutral/Non-Aligned
Mauritania,Autocracy,Presidential Republic,Islam,French Colony,Neutral/Non-Aligned
Jordan,Semi-Democracy,Constitutional Monarchy,Islam,British Protectorate,Western Bloc (U.S.-aligned)
Togo,Semi-Autocracy,Presidential Republic,Christianity/Islam,Occupied (French/British),Western Bloc (France-aligned)
India,Democracy,Federal Parliamentary Republic,Hinduism,British Colony,Non-Aligned Movement
Zambia,Democracy,Presidential Republic,Christianity,British Colony,Neutral/Non-Aligned
Malawi,Democracy,Presidential Republic,Christianity,British Protectorate,Neutral/Non-Aligned
Tanzania,Democracy,Presidential Republic,Christianity/Islam,British Protectorate,Neutral/Non-Aligned
Sierra Leone,Democracy,Presidential Republic,Islam/Christianity,British Colony,Neutral/Non-Aligned
Lesotho,Semi-Democracy,Constitutional Monarchy,Christianity,British Protectorate,Neutral/Non-Aligned
Botswana,Democracy,Parliamentary Republic,Christianity,British Protectorate,Neutral/Non-Aligned
Rwanda,Autocracy,Presidential Republic,Christianity,Allied (Belgian Colony),Non-Aligned Movement
Zimbabwe,Semi-Democracy,Presidential Republic,Christianity,British Colony,Neutral/Non-Aligned
Lebanon,Semi-Democracy,Parliamentary Republic,Islam/Christianity,French Mandate,Neutral/Non-Aligned
Afghanistan,Autocracy,Islamic Emirate/Republic,Islam,Neutral,Neutral/Non-Aligned
Uganda,Semi-Democracy,Presidential Republic,Christianity,British Protectorate,Western Bloc (U.K.-aligned)
Nigeria,Semi-Democracy,Federal Republic,Islam/Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Kenya,Democracy,Presidential Republic,Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Tunisia,Democracy,Semi-Presidential Republic,Islam,Occupied (French Protectorate),Neutral/Non-Aligned
Pakistan,Semi-Democracy,Federal Republic,Islam,British Colony,Western Bloc (U.S.-aligned)
Palestinian Territories*,Semi-Democracy,Mixed Autonomous Authority,Islam,British Mandate,Neutral/Non-Aligned
Mali,Democracy,Semi-Presidential Republic,Islam,Allied (French Colony),Neutral/Non-Aligned
Namibia,Democracy,Semi-Presidential Republic,Christianity,Allied (South African Protectorate),Neutral/Non-Aligned
"Eswatini, Kingdom of*",Semi-Autocracy,Absolute Monarchy,Christianity/Indigenous,British Protectorate,Neutral/Non-Aligned
Myanmar,Semi-Autocracy,Military Junta,Buddhism,Japanese Occupation,Non-Aligned Movement
Sri Lanka,Democracy,Presidential Republic,Buddhism,British Colony,Neutral/Non-Aligned
Madagascar,Democracy,Semi-Presidential Republic,Christianity/Indigenous,Occupied (French Colony),Neutral/Non-Aligned
Egypt,Semi-Democracy,Semi-Presidential Republic,Islam,British Protectorate,Neutral/Non-Aligned
Chad,Semi-Autocracy,Presidential Republic,Islam,Allied (French Colony),Neutral/Non-Aligned
Ethiopia,Democracy,Federal Parliamentary Republic,Christianity,Occupied by Italy,Neutral/Non-Aligned
Yemen,Autocracy,Republic,Islam,British Protectorate/North Yemen Neutral,Neutral/Non-Aligned
Mauritania,Autocracy,Presidential Republic,Islam,French Colony,Neutral/Non-Aligned
Jordan,Semi-Democracy,Constitutional Monarchy,Islam,British Protectorate,Western Bloc (U.S.-aligned)
Togo,Semi-Autocracy,Presidential Republic,Christianity/Islam,Occupied (French/British),Western Bloc (France-aligned)
India,Democracy,Federal Parliamentary Republic,Hinduism,British Colony,Non-Aligned Movement
Zambia,Democracy,Presidential Republic,Christianity,British Colony,Neutral/Non-Aligned
Malawi,Democracy,Presidential Republic,Christianity,British Protectorate,Neutral/Non-Aligned
Tanzania,Democracy,Presidential Republic,Christianity/Islam,British Protectorate,Neutral/Non-Aligned
